Number,ID,DIVE.TIME,MAX.DEPTH,LUNGES,SURFACE.TIME,EXPOSURE,td,tu,lat,lon,turns,steps,var.head,medianRLrms,phase,dnum
1,bw10_235a,168,48,0,175,None,8/23/2010 10:47,8/23/2010 10:50,33.5675213,-117.9068636,NA,764.9544435,0.496376,0,pre,1
2,bw10_235a,155,32,0,85,None,8/23/2010 10:53,8/23/2010 10:55,33.56368378,-117.9137047,-0.689031989,325.6379533,0.239354,0,pre,2
3,bw10_235a,177,55,0,141,None,8/23/2010 10:56,8/23/2010 10:59,33.5639772,-117.9171975,-0.753472585,521.1419296,0.188767,0,pre,3
4,bw10_235a,122,22,0,95,None,8/23/2010 11:02,8/23/2010 11:04,33.567515,-117.9208771,-0.263323164,498.9193074,0.006139,0,pre,4
5,bw10_235a,151,22,0,73,None,8/23/2010 11:05,8/23/2010 11:08,33.57154782,-117.9232239,0.075478848,117.6595021,0.036719,0,pre,5
6,bw10_235a,57,15,0,19,None,8/23/2010 11:09,8/23/2010 11:10,33.57246155,-117.9238615,0.050980662,244.1024009,0.533107,0,pre,6
7,bw10_235a,197,43,0,200,None,8/23/2010 11:10,8/23/2010 11:14,33.57429879,-117.9252983,-2.607995991,170.1454033,0.888217,0,pre,7
8,bw10_235a,84,12,0,43,None,8/23/2010 11:17,8/23/2010 11:18,33.5736212,-117.9236539,0.152716698,129.1264852,0.023049,0,pre,8
9,bw10_235a,62,18,0,22,None,8/23/2010 11:19,8/23/2010 11:20,33.57327197,-117.9223263,-0.135765528,161.6730996,0.059509,0,pre,9
10,bw10_235a,115,34,0,94,None,8/23/2010 11:20,8/23/2010 11:22,33.57265037,-117.9207509,0.981444978,57.42236724,0.184642,0,pre,10
11,bw10_235a,113,20,0,3,None,8/23/2010 11:24,8/23/2010 11:26,33.57291778,-117.9202215,0.087336359,91.402255,0.135606,0,pre,11
12,bw10_235a,41,8,0,117,None,8/23/2010 11:26,8/23/2010 11:26,33.57340322,-117.9194267,1.415947794,168.5118939,0.258873,0,pre,12
13,bw10_235a,98,12,0,134,None,8/23/2010 11:28,8/23/2010 11:30,33.5747518,-117.920252,0.894517188,99.96185781,0.021507,0,pre,13
14,bw10_235a,143,24,0,53,None,8/23/2010 11:32,8/23/2010 11:34,33.5749331,-117.9213076,1.733051606,446.0456846,0.501798,0,pre,14
